id igralca,ime,vloga
0889338,Rupert Vansittart,Mr Hurst
0202945,Joanna David,Mrs Gardiner
0150411,Nadia Chambers,Miss Anne De Bourgh
0054763,David Bark-Jones,Lt. Denny
0267622,Lynn Farleigh,Mrs Phillips
0071290,Christopher Benjamin,Sir William Lucas
0054087,Roger Barclay,Capt. Carter
0641745,Kate O'Malley,"Sarah, the maid"
0833991,Norma Streader,Lady Lucas
0605367,Paul Moriarty,Col. Forster
0358200,Victoria Hamilton,Mrs Forster
0129882,Anthony Calf,Col. Fitzwilliam
0499309,Sarah Legg,Hannah
0851985,Annabel Taylor,"Maggie, the maid"
0247565,Harriet Eastcott,Mrs Jenkinson
0410562,Natasha Isaacs,Gardiner Children
0280960,Marie-Louise Flamank,Gardiner Children
0390332,Roy Holder,"Hodge, the gardener"
0259542,Julian Erleigh,Gardiner Children
0680670,Neville Phillips,"Fossett, the footman"
0821574,Christopher Staines,Lt. Sanderson
1368450,Jacob Casselden,Gardiner Children
0848874,Melvyn Tan,Forte Piano played by
0001037,Graham Chapman,Various
0001385,Eric Idle,Various
0001402,Terry Jones,Various
0001589,Michael Palin,It's Man
0000416,Terry Gilliam,Various
0000092,John Cleese,Announcer
0166470,Carol Cleveland,Various
0000867,Jason Bateman,Michael Bluth
0005577,Portia de Rossi,Lindsay Bluth Fünke
0004715,Will Arnett,Gob Bluth
0148418,Michael Cera,George-Michael Bluth
0790057,Alia Shawkat,Maeby Fünke
0355024,Tony Hale,Buster Bluth
0189144,David Cross,Tobias Fünke
0001787,Jeffrey Tambor,George Bluth Sr.
0910055,Jessica Walter,Lucille Bluth
0000165,Ron Howard,Narrator
0001638,Jürgen Prochnow,Der Alte
0344963,Herbert Grönemeyer,Leutnant Werner
0921044,Klaus Wennemann,Leitender Ingenieur (LI)
0071059,Hubertus Bengsch,Erster Wachoffizier (I WO)
0783847,Martin Semmelrogge,Zweiter Wachoffizier (II WO)
0851427,Bernd Tauber,Obersteuermann
0496441,Erwin Leder,"Johann, das Gespenst"
0562056,Martin May,Ullmann
0388517,Heinz Hoenig,Hinrich
0643805,Uwe Ochsenknecht,Bootsmann
0748936,Claude-Oliver Rudolph,Ario
0270035,Jan Fedder,Pilgrim
0725338,Ralf Richter,Frenssen
0076751,Joachim Bernhard,Bibelforscher
0834640,Oliver Stritzel,Schwalle
0065489,Konrad Becker,Bockstiegel
0774119,Lutz Schnell,Dufte
0376046,Martin Hemme,Brueckenwilli
0682957,Wilhelm Pietsch,Franz
0627162,Helmut Neumeier,Schmutt
0758887,Dirk Salomon,Markus
0389205,Jean-Claude Hoffmann,Benjamin
0469375,Arno Kral,Hagen
0609687,Maryline Moulard,Françoise
0128233,Rita Cadillac,Monique
0761420,Otto Sander,Thomsen
0483945,Günter Lamprecht,Kapitän 'Weser'
3832707,Naveen Kasturia,Naveen Bansal
2837311,Arunabh Kumar,Yogendra
6845062,Jitendra Kumar,Jitendra
7378087,Abhay Mahajan,Saurabh Mandal
1531547,Gopal Dutt,Rastogi
0000213,Winona Ryder,Joyce Byers
1092086,David Harbour,Jim Hopper
6016511,Finn Wolfhard,Mike Wheeler
5611121,Millie Bobby Brown,Eleven
7140802,Gaten Matarazzo,Dustin Henderson
5160895,Caleb McLaughlin,Lucas Sinclair
3034501,Natalia Dyer,Nancy Wheeler
6390427,Charlie Heaton,Jonathan Byers
0120648,Cara Buono,Karen Wheeler
6564737,Joe Keery,Steve Harrington
6907855,Noah Schnapp,Will Byers
1726032,Rob Morgan,Officer Powell
0159609,Joe Chrest,Ted Wheeler
7535433,Linnea Berthelsen,Roman
4223882,Dacre Montgomery,Billy
5584750,Sadie Sink,Max
0000546,Matthew Modine,Dr. Martin Brenner
6324745,John Reynolds,Officer Callahan
0165087,Jeremy Clarkson,Himself - Host
1414369,Richard Hammond,Himself - Host
0561982,James May,Himself - Host
0000704,Elijah Wood,Wirt
5242354,Collin Dean,Gregory
0001491,Melanie Lynskey,Beatrice
0787474,Satish Shah,Indravadan Sarabhai
0665550,Ratna Pathak,Maya Sarabhai
2670109,Sumeet Raghvan,Sahil Sarabhai
3392486,Rupali Ganguly,Monisha Sarabhai
3632004,Rajesh Kumar,Rosesh Sarabhai
0619684,Ghanshyam Nayak,Vitthal kaka
6179250,Sumeet Raghavan,Sahil Sarabhai
0080409,Deven Bhojani,Dushyant
0000632,Jerry Seinfeld,Jerry Seinfeld
0724245,Michael Richards,Kramer
0004517,Jason Alexander,George Costanza
0000506,Julia Louis-Dreyfus,Elaine Benes
1131118,Ruth Cohen,Ruthie Cohen
0609944,Wagner Moura,Pablo Escobar
2933542,Boyd Holbrook,Steve Murphy
0050959,Pedro Pascal,Javier Peña
2103508,Paulina Gaitan,Tata Escobar
7553526,Juan Murcia,Juan Pablo Escobar
0617622,Raúl Méndez,César Gaviria
0599509,Jorge Monterrosa,Trujillo
1257208,Paulina García,Hermilda Gaviria
1593407,Diego Cataño,La Quica
1517518,Julián Díaz,Blackie
1812459,Joanna Christie,Connie Murphy
7594525,María José Sanchez Real,Manuela
0173997,Maurice Compte,Horacio Carrillo
2975962,Alberto Ammann,Pacho Herrera
2362713,Stephanie Sigman,Valeria Velez
0136572,Manolo Cardona,Eduardo Sandoval
0080966,Bruno Bichir,Fernando Duque
5966578,Leynar Gomez,Limon
0704696,Juan Pablo Raba,Gustavo Gaviria
0429114,Richard T. Jones,Agent DEA
0129865,Juan Sebastián Calero,Navegante
2934637,Jason Chad Roth,Technician
2784856,Jorge A. Jimenez,Poison
0447981,Danielle Kennedy,Ambassador Noonan
4961715,Mauricio Cujar,Don Berna
0001492,Kyle MacLachlan,Special Agent Dale Cooper
0648920,Michael Ontkean,Sheriff Harry S. Truman
0000749,Mädchen Amick,Shelly Johnson
0000796,Dana Ashbrook,Bobby Briggs
0000937,Richard Beymer,Benjamin Horne
0001223,Lara Flynn Boyle,Donna Hayward
0000145,Sherilyn Fenn,Audrey Horne
0296583,Warren Frost,Dr. Will Hayward
0005152,Peggy Lipton,Norma Jennings
