id,leto
0094525,1991
0094525,1992
0094525,1993
0094525,1994
0094525,1995
0094525,1996
0094525,1997
0094525,1998
0094525,1999
0094525,2000
0094525,2001
0094525,2002
0094525,2003
0094525,2004
0094525,2005
0094525,2006
0094525,2007
0094525,2008
0094525,2009
0094525,2010
0094525,2011
0094525,2012
0094525,2013
0417373,2003
0417373,2004
0417373,2005
0417373,2006
0417373,2007
0417373,2008
0417373,2009
0417373,2010
0417373,2011
0417373,2012
0417373,2013
0417373,2014
0417373,2015
0417373,2016
1474684,2010
1474684,2011
1474684,2012
1474684,2013
1474684,2014
1474684,2015
1474684,2016
0487831,2006
0487831,2007
0487831,2008
0487831,2009
0487831,2010
0487831,2011
0487831,2012
0487831,2013
1632701,2011
1632701,2012
1632701,2013
1632701,2014
1632701,2015
1632701,2016
1695360,2012
1695360,2013
1695360,2014
0096657,1990
0096657,1991
0096657,1992
0096657,1993
0096657,1994
0096657,1995
0262150,2000
0262150,2001
0262150,2002
0262150,2003
0262150,2004
0346314,2002
0346314,2003
0346314,2004
0346314,2005
0129690,1997
0129690,1998
0129690,1999
0129690,2000
0129690,2001
0129690,2002
2243973,2013
2243973,2014
2243973,2015
0149460,1999
0149460,2000
0149460,2001
0149460,2002
0149460,2003
0149460,2004
0149460,2005
0149460,2006
0149460,2007
0149460,2008
0149460,2009
0149460,2010
0149460,2011
0149460,2012
0149460,2013
1442449,2010
1442449,2011
1442449,2012
1442449,2013
0075520,1977
1795096,2010
1795096,2011
1795096,2012
1795096,2013
1124373,2008
1124373,2009
1124373,2010
1124373,2011
1124373,2012
1124373,2013
1124373,2014
2575988,2014
2575988,2015
2575988,2016
2788432,2016
2937900,2014
2937900,2015
2937900,2016
4156586,2014
4156586,2015
4156586,2016
0397150,2004
0397150,2005
0397150,2006
0397150,2007
0397150,2008
0397150,2009
0397150,2010
0397150,2011
0397150,2012
0397150,2013
0397150,2014
0397150,2015
0397150,2016
2311418,2012
2311418,2013
2433738,2013
2433738,2014
2433738,2015
2433738,2016
