id,naslov,opis,leto,dolzina,epizode,ocena,st_glasov
2433738,Wentworth Prison,Bea Smith is locked up while awaiting trial for the attempted murder of her husband and must learn how life works in prison.,2013-,45,46,8.7,8756
2311418,Isler Güçler,"Ahmet, Murat and Sadi are actors who dream of shooting a movie and present a documentary called 'Meslek Hikayeleri' in order to make money.",2012-2013,60,41,8.7,15092
1439629,Community,A suspended lawyer is forced to enroll in a community college with an eclectic staff and student body.,2009-2015,22,110,8.5,150752
0319969,Carnivàle,"During the Great Depression, an Oklahoma farm boy and a charismatic minister learn that they are key players in a proxy war being fought between Heaven and Hell.",2003-2005,55,24,8.5,35120
0083466,Police Squad!,Sight-gags and non-sequiturs dominate this spoof of police dramas.,1982-,24,6,8.5,10659
1442437,Modern Family,"Three different, but related families face trials and tribulations in their own uniquely comedic ways.",2009-,22,188,8.5,257889
0103584,X-Men,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.,1992-1997,23,76,8.5,25885
0362192,State of Play,"A thriller set in London, in which a politician's life becomes increasingly complex as his research assistant is found dead on the London Underground and, in a seemingly unrelated incident, a teenage pickpocket is shot dead.",2003-,57,6,8.5,7416
0070644,Scenes from a Marriage,Ten years of Marianne and Johan's relationship are presented.,1973-,40,6,8.5,12123
2701582,Endeavour,"Set in the 1960s, the show follows Endeavour Morse in his early years as a police constable.",2012-,60,17,8.6,7697
0098833,Jeeves and Wooster,"Bertram Wooster, a well-intentioned, wealthy layabout, has a habit of getting himself into trouble and it's up to his brilliant valet, Jeeves, to get him out.",1990-1993,55,23,8.5,9002
0387199,Entourage,Film star Vince Chase navigates the vapid terrain of Los Angeles with a close circle of friends and his trusty agent.,2004-2011,28,96,8.5,139059
0103466,The Larry Sanders Show,A comedic behind the scenes look at a late night talk show.,1992-1998,30,89,8.5,5376
1883092,Generation War,Five friends go out to war and promise each other to be back for Christmas.,2013-,80,3,8.5,15941
3428912,Happy Valley,Catherine Cawood is the sergeant on duty when flustered and nervous accountant Kevin Weatherill comes into her West Yorkshire station to report a crime.,2014-,58,12,8.5,15618
2384811,Utopia,"After a group of people, who meet online, discover a bizarre graphic novel which seems to hold mysterious answers, they find themselves being tracked down by a merciless organization known merely as 'The Network'.",2013-2014,50,12,8.5,28119
0074028,The Muppet Show,a href='/name/nm1463454/?ref_='>Kermit the Frog and his friends struggle to put on a weekly variety show.,1976-1981,30,120,8.5,15994
